Date,EUR_to_SEK_Rate
2024-05-03,11.6398
2024-05-04,11.6398
2024-05-05,11.6398
2024-05-06,11.625
2024-05-07,11.681
2024-05-08,11.733
2024-05-09,11.7205
2024-05-10,11.6865
2024-05-11,11.6865
2024-05-12,11.6865
2024-05-13,11.7
2024-05-14,11.7285
2024-05-15,11.6751
2024-05-16,11.6172
2024-05-17,11.655
2024-05-18,11.655
2024-05-19,11.655
2024-05-20,11.6127
2024-05-21,11.581
2024-05-22,11.6325
2024-05-23,11.5925
2024-05-24,11.599
2024-05-25,11.599
2024-05-26,11.599
2024-05-27,11.54
2024-05-28,11.466
2024-05-29,11.5215
2024-05-30,11.4995
2024-05-31,11.421
2024-06-01,11.421
2024-06-02,11.421
2024-06-03,11.4035
2024-06-04,11.3755
2024-06-05,11.3275
2024-06-06,11.293
2024-06-07,11.3075
2024-06-08,11.3075
2024-06-09,11.3075
2024-06-10,11.333
2024-06-11,11.2467
2024-06-12,11.2345
2024-06-13,11.221
2024-06-14,11.2731
2024-06-15,11.2731
2024-06-16,11.2731
2024-06-17,11.2933
2024-06-18,11.255
2024-06-19,11.214
2024-06-20,11.198
2024-06-21,11.2445
2024-06-22,11.2445
2024-06-23,11.2445
2024-06-24,11.2555
2024-06-25,11.2255
2024-06-26,11.3038
2024-06-27,11.338
2024-06-28,11.3595
2024-06-29,11.3595
2024-06-30,11.3595
2024-07-01,11.3675
2024-07-02,11.417
2024-07-03,11.371
2024-07-04,11.3375
2024-07-05,11.3605
2024-07-06,11.3605
2024-07-07,11.3605
2024-07-08,11.3805
2024-07-09,11.422
2024-07-10,11.4075
2024-07-11,11.419
2024-07-12,11.4965
2024-07-13,11.4965
2024-07-14,11.4965
2024-07-15,11.5375
2024-07-16,11.5545
2024-07-17,11.5085
2024-07-18,11.5338
2024-07-19,11.61
2024-07-20,11.61
2024-07-21,11.61
2024-07-22,11.6295
2024-07-23,11.6735
2024-07-24,11.6875
2024-07-25,11.774
2024-07-26,11.7325
2024-07-27,11.7325
2024-07-28,11.7325
2024-07-29,11.7265
2024-07-30,11.686
2024-07-31,11.6125
2024-08-01,11.522
2024-08-02,11.5843
2024-08-03,11.5843
2024-08-04,11.5843
2024-08-05,11.534
2024-08-06,11.559
2024-08-07,11.4235
2024-08-08,11.4955
2024-08-09,11.4955
2024-08-10,11.4955
2024-08-11,11.4955
2024-08-12,11.4935
2024-08-13,11.506
2024-08-14,11.4843
2024-08-15,11.5135
2024-08-16,11.5435
2024-08-17,11.5435
2024-08-18,11.5435
2024-08-19,11.4871
2024-08-20,11.3825
2024-08-21,11.378
2024-08-22,11.392
2024-08-23,11.4355
2024-08-24,11.4355
2024-08-25,11.4355
2024-08-26,11.403
2024-08-27,11.3758
2024-08-28,11.335
2024-08-29,11.3455
2024-08-30,11.3355
2024-08-31,11.3355
2024-09-01,11.3355
2024-09-02,11.351
2024-09-03,11.372
2024-09-04,11.411
2024-09-05,11.3995
2024-09-06,11.3698
2024-09-07,11.3698
2024-09-08,11.3698
2024-09-09,11.455
2024-09-10,11.4355
2024-09-11,11.435
2024-09-12,11.414
2024-09-13,11.3635
2024-09-14,11.3635
2024-09-15,11.3635
2024-09-16,11.3195
2024-09-17,11.3245
2024-09-18,11.324
2024-09-19,11.3175
2024-09-20,11.381
2024-09-21,11.381
2024-09-22,11.381
2024-09-23,11.362
2024-09-24,11.2935
2024-09-25,11.311
2024-09-26,11.3
2024-09-27,11.273
2024-09-28,11.273
2024-09-29,11.273
2024-09-30,11.3
2024-10-01,11.3145
2024-10-02,11.3495
2024-10-03,11.361
2024-10-04,11.3375
2024-10-05,11.3375
2024-10-06,11.3375
2024-10-07,11.366
2024-10-08,11.349
2024-10-09,11.362
2024-10-10,11.3655
2024-10-11,11.354
2024-10-12,11.354
2024-10-13,11.354
2024-10-14,11.3735
2024-10-15,11.301
2024-10-16,11.346
2024-10-17,11.418
2024-10-18,11.4205
2024-10-19,11.4205
2024-10-20,11.4205
2024-10-21,11.4275
2024-10-22,11.4005
2024-10-23,11.412
2024-10-24,11.419
2024-10-25,11.4475
2024-10-26,11.4475
2024-10-27,11.4475
2024-10-28,11.471
2024-10-29,11.517
2024-10-30,11.566
2024-10-31,11.6308
2024-11-01,11.6115
2024-11-02,11.6115
2024-11-03,11.6115
2024-11-04,11.6445
2024-11-05,11.6665
2024-11-06,11.6515
2024-11-07,11.599
2024-11-08,11.59
2024-11-09,11.59
2024-11-10,11.59
2024-11-11,11.592
2024-11-12,11.542
2024-11-13,11.5895
2024-11-14,11.603
2024-11-15,11.5905
2024-11-16,11.5905
2024-11-17,11.5905
2024-11-18,11.6
2024-11-19,11.584
2024-11-20,11.605
2024-11-21,11.607
2024-11-22,11.553
2024-11-23,11.553
2024-11-24,11.553
2024-11-25,11.503
2024-11-26,11.523
2024-11-27,11.529
2024-11-28,11.5375
2024-11-29,11.518
2024-11-30,11.518
2024-12-01,11.518
2024-12-02,11.527
2024-12-03,11.5755
2024-12-04,11.548
2024-12-05,11.5095
2024-12-06,11.523
2024-12-07,11.523
2024-12-08,11.523
2024-12-09,11.536
2024-12-10,11.5335
2024-12-11,11.5165
2024-12-12,11.5
2024-12-13,11.515
2024-12-14,11.515
2024-12-15,11.515
2024-12-16,11.4541
2024-12-17,11.472
2024-12-18,11.4895
2024-12-19,11.4625
2024-12-20,11.476
2024-12-21,11.476
2024-12-22,11.476
2024-12-23,11.484
2024-12-24,11.5335
2024-12-25,11.5335
2024-12-26,11.5335
2024-12-27,11.4795
2024-12-28,11.4795
2024-12-29,11.4795
2024-12-30,11.4865
2024-12-31,11.459
